epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,173142,1.38689,0.97959,1.26082,0.87033,0.64743,0.724,0.43316,1.74269,1.1828,0.97921,0.004753,0.004753,0.004753
108,174408,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0047035,0.0047035,0.0047035
109,176910,1.5995,1.31284,1.40772,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.004654,0.004654,0.004654
110,178197,1.50929,1.14823,1.33822,0.83412,0.59928,0.67354,0.39292,1.84465,1.38424,1.0114,0.0046045,0.0046045,0.0046045
111,179484,1.386,0.97938,1.25911,0.87249,0.64686,0.72163,0.4346,1.75487,1.15762,0.97966,0.004555,0.004555,0.004555
112,180762,nan,nan,nan,0.86259,0.63571,0.71451,0.41914,nan,nan,nan,0.0045055,0.0045055,0.0045055
113,182029,nan,nan,nan,0.86403,0.63384,0.71324,0.41802,nan,nan,nan,0.004456,0.004456,0.004456
114,183295,nan,nan,nan,0.86396,0.63356,0.71324,0.41785,nan,nan,nan,0.0044065,0.0044065,0.0044065
115,184561,nan,nan,nan,0.86407,0.63374,0.71331,0.41793,nan,nan,nan,0.004357,0.004357,0.004357
116,185827,nan,nan,nan,0.86459,0.6333,0.71342,0.41794,nan,nan,nan,0.0043075,0.0043075,0.0043075
117,187095,nan,nan,nan,0.86441,0.63326,0.71338,0.41796,nan,nan,nan,0.004258,0.004258,0.004258
118,188362,nan,nan,nan,0.86355,0.63363,0.71332,0.41798,nan,nan,nan,0.0042085,0.0042085,0.0042085
119,189629,nan,nan,nan,0.86426,0.63316,0.71337,0.418,nan,nan,nan,0.004159,0.004159,0.004159
120,190896,nan,nan,nan,0.86422,0.63393,0.71343,0.418,nan,nan,nan,0.0041095,0.0041095,0.0041095
121,192162,nan,nan,nan,0.86457,0.6332,0.71347,0.41803,nan,nan,nan,0.00406,0.00406,0.00406
122,193427,nan,nan,nan,0.86405,0.63372,0.7134,0.41799,nan,nan,nan,0.0040105,0.0040105,0.0040105
123,194692,nan,nan,nan,0.86396,0.63379,0.71334,0.41805,nan,nan,nan,0.003961,0.003961,0.003961
124,195956,nan,nan,nan,0.86396,0.63379,0.71333,0.41801,nan,nan,nan,0.0039115,0.0039115,0.0039115
125,197220,nan,nan,nan,0.86471,0.63325,0.71331,0.41798,nan,nan,nan,0.003862,0.003862,0.003862
126,198485,nan,nan,nan,0.86453,0.6333,0.71328,0.41805,nan,nan,nan,0.0038125,0.0038125,0.0038125
127,199749,nan,nan,nan,0.86469,0.63314,0.7134,0.418,nan,nan,nan,0.003763,0.003763,0.003763
128,201012,nan,nan,nan,0.86426,0.63383,0.71335,0.41799,nan,nan,nan,0.0037135,0.0037135,0.0037135
129,202274,nan,nan,nan,0.86386,0.63372,0.71326,0.41794,nan,nan,nan,0.003664,0.003664,0.003664
130,203537,nan,nan,nan,0.86411,0.63372,0.71333,0.41803,nan,nan,nan,0.0036145,0.0036145,0.0036145
131,204800,nan,nan,nan,0.86429,0.63332,0.71332,0.418,nan,nan,nan,0.003565,0.003565,0.003565
132,206061,nan,nan,nan,0.86376,0.63374,0.71338,0.418,nan,nan,nan,0.0035155,0.0035155,0.0035155
133,207324,nan,nan,nan,0.86405,0.63395,0.71327,0.41801,nan,nan,nan,0.003466,0.003466,0.003466
