epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
97,379776,1.35901,0.27763,0.05447,0.75391,0.63125,0.68589,0.36093,0.72637,0.44894,0.07748,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
98,383616,1.35578,0.28007,0.05256,0.7593,0.63832,0.69344,0.3667,0.71607,0.45113,0.07739,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975,0.0059925,0.0019975
99,387454,1.33478,0.28513,0.0514,0.75711,0.6511,0.70598,0.37086,0.70257,0.45622,0.07858,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
100,391291,1.30392,0.28605,0.0489,0.76345,0.66343,0.71881,0.37345,0.69619,0.45916,0.07971,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
101,395130,1.25107,0.29495,0.04633,0.76236,0.67477,0.7315,0.37963,0.68294,0.46014,0.07968,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
102,398971,1.23991,0.2952,0.04534,0.76605,0.69036,0.7419,0.38343,0.67398,0.46254,0.07997,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675,0.0050025,0.0016675
103,402808,1.2277,0.29766,0.04411,0.77508,0.70503,0.76075,0.39148,0.65882,0.46649,0.08102,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
104,406645,1.18097,0.30458,0.04164,0.78128,0.71986,0.77551,0.40157,0.63977,0.47033,0.08078,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025,0.0045075,0.0015025
105,410484,1.13068,0.31078,0.03988,0.78671,0.73495,0.79047,0.40917,0.62854,0.46847,0.08149,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
106,414324,1.12101,0.31083,0.03874,0.78388,0.7473,0.8012,0.41334,0.61685,0.47171,0.08288,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
107,418164,1.07502,0.31864,0.03716,0.78487,0.75824,0.81308,0.41436,0.61045,0.47568,0.08492,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
