case,distribution,tokens,routed_m,skew_ratio,op,candidate_set,best_ms,mfu_percent,best_config,tile_m,tile_n,tile_k,num_warps,pingpong,is_dynamic_persistent,cluster_m,cluster_n,cluster_k,swap_ab,max_swizzle_size,device_capacity,use_tma_gather
m48k_tk64k,random,49152,65536,1.02197265625,gated,expanded_after,2.0445703506469726,61.172185782657785,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m48k_tk64k,random,49152,65536,1.02197265625,out,before,0.932419204711914,67.06792218749563,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False
m48k_tk64k,random,49152,65536,1.02197265625,out,current_after,0.9258024215698242,67.54726193274357,m128_n256_cm1_cn1_pp0_dyn0_sw8,128,256,,,False,False,1,1,1,False,8,9,False
m48k_tk64k,random,49152,65536,1.02197265625,out,expanded_after,0.9103703975677491,68.69228045510054,m128_n192_cm2_cn1_pp1_dyn0_sw4,128,192,,,True,False,2,1,1,False,4,9,False
m4k_tk5k,balanced,4096,4915,1.0026449643947102,gated,before,0.23822160959243777,39.374812093262705,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
m4k_tk5k,balanced,4096,4915,1.0026449643947102,gated,current_after,0.23822160959243777,39.374812093262705,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
m4k_tk5k,balanced,4096,4915,1.0026449643947102,gated,expanded_after,0.23822160959243777,39.374812093262705,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
m4k_tk5k,balanced,4096,4915,1.0026449643947102,out,before,0.09120000004768372,51.42506090653809,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False
m4k_tk5k,balanced,4096,4915,1.0026449643947102,out,current_after,0.09078559875488282,51.659796503530444,m192_n128_cm1_cn1_pp1_dyn0_sw8,192,128,,,True,False,1,1,1,False,8,9,False
m4k_tk5k,balanced,4096,4915,1.0026449643947102,out,expanded_after,0.09078559875488282,51.659796503530444,m192_n128_cm1_cn1_pp1_dyn0_sw8,192,128,,,True,False,1,1,1,False,8,9,False
m4k_tk7k,balanced,4096,7373,1.0004068900040688,gated,before,0.2875631928443909,48.93133487275537,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
