case,distribution,candidate_set,tokens,routed_m,skew_ratio,total_ms,weighted_mfu_percent,gated_ms,out_ms,gated_config,out_config
m20k_tk24k,random,before,20000.0,24000.0,1.0526666666666666,1.0285607933998109,66.79572401813711,0.7052304029464722,0.3233303904533386,m128_n256_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m20k_tk24k,random,current_after,20000.0,24000.0,1.0526666666666666,1.0285607933998109,66.79572401813711,0.7052304029464722,0.3233303904533386,m128_n256_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m20k_tk24k,random,expanded_after,20000.0,24000.0,1.0526666666666666,1.0285607933998109,66.79572401813711,0.7052304029464722,0.3233303904533386,m128_n256_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
online_target,random,before,24497.0,29446.0,1.0209875704679752,1.4355520129203798,58.718474092900465,1.0310984134674073,0.40445359945297243,m256_n192_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
online_target,random,current_after,24497.0,29446.0,1.0209875704679752,1.3631760001182558,61.83605321129772,0.9587224006652832,0.40445359945297243,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
online_target,random,expanded_after,24497.0,29446.0,1.0209875704679752,1.3631760001182558,61.83605321129772,0.9587224006652832,0.40445359945297243,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
online_max,random,before,28940.0,36560.0,1.037636761487965,1.6900720119476318,61.925334777845364,1.1864488124847412,0.5036231994628906,m128_n192_cm2_cn1_pp1_dyn0_sw8,m128_n192_cm1_cn2_pp1_dyn0_sw8
online_max,random,current_after,28940.0,36560.0,1.037636761487965,1.6768703937530518,62.412858816288754,1.1732471942901612,0.5036231994628906,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n192_cm1_cn2_pp1_dyn0_sw8
online_max,random,expanded_after,28940.0,36560.0,1.037636761487965,1.6768703937530518,62.412858816288754,1.1732471942901612,0.5036231994628906,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n192_cm1_cn2_pp1_dyn0_sw8
m24k_tk36k,random,before,24576.0,36864.0,1.0355902777777777,1.6648808002471926,63.385029718735254,1.1697008132934572,0.49517998695373533,m128_n256_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m24k_tk36k,random,current_after,24576.0,36864.0,1.0355902777777777,1.6437680244445803,64.19915549669942,1.1485880374908448,0.49517998695373533,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m24k_tk36k,random,expanded_after,24576.0,36864.0,1.0355902777777777,1.6437680244445803,64.19915549669942,1.1485880374908448,0.49517998695373533,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m32k_tk42k,random,before,32768.0,42598.0,1.042678060002817,1.9419528245925903,62.793966877115636,1.3586944103240968,0.5832584142684936,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8
m32k_tk42k,random,current_after,32768.0,42598.0,1.042678060002817,1.9419528245925903,62.793966877115636,1.3586944103240968,0.5832584142684936,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8
m32k_tk42k,random,expanded_after,32768.0,42598.0,1.042678060002817,1.9419528245925903,62.793966877115636,1.3586944103240968,0.5832584142684936,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8
m40k_tk52k,random,before,40960.0,53248.0,1.0375600961538463,2.423038387298584,62.908653780170354,1.6764023780822754,0.7466360092163086,m128_n256_cm2_cn1_pp0_dyn0_sw8,m256_n128_cm1_cn2_pp0_dyn0_sw8
m40k_tk52k,random,current_after,40960.0,53248.0,1.0375600961538463,2.421627974510193,62.94529325193311,1.6764023780822754,0.7452255964279175,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n192_cm1_cn2_pp1_dyn0_sw4
m40k_tk52k,random,expanded_after,40960.0,53248.0,1.0375600961538463,2.421627974510193,62.94529325193311,1.6764023780822754,0.7452255964279175,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n192_cm1_cn2_pp1_dyn0_sw4
m48k_tk64k,random,before,49152.0,65536.0,1.02197265625,2.9769895553588865,63.01878206644195,2.0445703506469726,0.932419204711914,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n192_cm2_cn1_pp1_dyn0_sw8
m48k_tk64k,random,current_after,49152.0,65536.0,1.02197265625,2.9703727722167965,63.15916229706906,2.0445703506469726,0.9258024215698242,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n256_cm1_cn1_pp0_dyn0_sw8
m48k_tk64k,random,expanded_after,49152.0,65536.0,1.02197265625,2.954940748214722,63.48900772937025,2.0445703506469726,0.9103703975677491,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n192_cm2_cn1_pp1_dyn0_sw4
m4k_tk5k,skewed,before,4096.0,4915.0,4.9936927772126145,0.3278743982315063,42.91245900038444,0.2393664002418518,0.08850799798965454,m128_n224_cm2_cn1_pp0_dyn0_sw8,m128_n224_cm1_cn2_pp0_dyn0_sw8
m4k_tk5k,skewed,current_after,4096.0,4915.0,4.9936927772126145,0.3028127908706665,46.46401042350484,0.21430479288101195,0.08850799798965454,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n224_cm1_cn2_pp0_dyn0_sw8
m4k_tk5k,skewed,expanded_after,4096.0,4915.0,4.9936927772126145,0.3028127908706665,46.46401042350484,0.21430479288101195,0.08850799798965454,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n224_cm1_cn2_pp0_dyn0_sw8
m4k_tk7k,skewed,before,4096.0,7373.0,4.993354129933541,0.4043456017971039,52.19860494442161,0.28572959899902345,0.11861600279808043,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8
m4k_tk7k,skewed,current_after,4096.0,7373.0,4.993354129933541,0.3966167986392975,53.21579015723059,0.27800079584121706,0.11861600279808043,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8
m4k_tk7k,skewed,expanded_after,4096.0,7373.0,4.993354129933541,0.3966167986392975,53.21579015723059,0.27800079584121706,0.11861600279808043,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8
m8k_tk10k,skewed,before,8192.0,9830.0,4.9936927772126145,0.5315143942832947,52.94267407511093,0.37967599630355836,0.15183839797973633,m128_n224_cm2_cn1_pp0_dyn0_sw8,m128_n256_cm1_cn2_pp0_dyn0_sw8
m8k_tk10k,skewed,current_after,8192.0,9830.0,4.9936927772126145,0.5134935975074768,54.80067030896279,0.3616551995277405,0.15183839797973633,m128_n224_cm1_cn1_pp0_dyn0_sw8,m128_n256_cm1_cn2_pp0_dyn0_sw8
m8k_tk10k,skewed,expanded_after,8192.0,9830.0,4.9936927772126145,0.5134935975074768,54.80067030896279,0.3616551995277405,0.15183839797973633,m128_n224_cm1_cn1_pp0_dyn0_sw8,m128_n256_cm1_cn2_pp0_dyn0_sw8
m8k_tk12k,skewed,before,8192.0,12288.0,4.994791666666667,0.6056551992893219,58.0795360823824,0.41885039806365965,0.18680480122566223,m128_n256_cm2_cn1_pp0_dyn0_sw8,m256_n128_cm1_cn2_pp0_dyn0_sw8
m8k_tk12k,skewed,current_after,8192.0,12288.0,4.994791666666667,0.6056551992893219,58.0795360823824,0.41885039806365965,0.18680480122566223,m128_n256_cm2_cn1_pp0_dyn0_sw8,m256_n128_cm1_cn2_pp0_dyn0_sw8
m8k_tk12k,skewed,expanded_after,8192.0,12288.0,4.994791666666667,0.6056551992893219,58.0795360823824,0.41885039806365965,0.18680480122566223,m128_n256_cm2_cn1_pp0_dyn0_sw8,m256_n128_cm1_cn2_pp0_dyn0_sw8
online_min,skewed,before,12176.0,14395.0,4.9950677318513375,0.7251055955886841,56.83001864051983,0.5076855897903443,0.21742000579833987,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n192_cm1_cn2_pp1_dyn0_sw8
online_min,skewed,current_after,12176.0,14395.0,4.9950677318513375,0.7181327939033508,57.38181693342367,0.5011919975280762,0.21694079637527466,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n192_cm1_cn2_pp1_dyn0_sw4
online_min,skewed,expanded_after,12176.0,14395.0,4.9950677318513375,0.7181295990943909,57.38207221317138,0.5011919975280762,0.2169376015663147,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n192_cm1_cn1_pp1_dyn0_sw8
m12k_tk18k,skewed,before,12288.0,18432.0,4.994791666666667,0.8968960046768188,58.82985231930286,0.6327104091644287,0.2641855955123901,m128_n224_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m12k_tk18k,skewed,current_after,12288.0,18432.0,4.994791666666667,0.8968960046768188,58.82985231930286,0.6327104091644287,0.2641855955123901,m128_n224_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m12k_tk18k,skewed,expanded_after,12288.0,18432.0,4.994791666666667,0.8968960046768188,58.82985231930286,0.6327104091644287,0.2641855955123901,m128_n224_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m16k_tk20k,skewed,before,16384.0,19661.0,4.9950663750572195,0.9624775886535644,58.476633631088625,0.6827879905700683,0.2796895980834961,m128_n224_cm2_cn1_pp0_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m16k_tk20k,skewed,current_after,16384.0,19661.0,4.9950663750572195,0.9175263881683349,61.34150478460375,0.6378367900848388,0.2796895980834961,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
