case,distribution,tokens,routed_m,skew_ratio,op,rank,ms,mfu_percent,config,tile_m,tile_n,tile_k,num_warps,pingpong,is_dynamic_persistent,cluster_m,cluster_n,cluster_k,swap_ab,max_swizzle_size,device_capacity,use_tma_gather,error
m16k_tk20k,random,16384,19661,1.0506078022481053,gated,3,0.6370327949523926,58.90062989513151,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False,
m16k_tk20k,random,16384,19661,1.0506078022481053,gated,4,0.639305591583252,58.69123214397213,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False,
m16k_tk20k,random,16384,19661,1.0506078022481053,gated,5,0.65556960105896,57.23516286591435,m128_n224_cm2_cn1_pp0_dyn0_sw4,128,224,,,False,False,2,1,1,False,4,9,False,
m16k_tk20k,random,16384,19661,1.0506078022481053,out,1,0.28140959739685056,66.66729428143519,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False,
m16k_tk20k,random,16384,19661,1.0506078022481053,out,2,0.2819024085998535,66.55074902146751,m256_n192_cm1_cn1_pp0_dyn0_sw8,256,192,,,False,False,1,1,1,False,8,9,False,
m16k_tk20k,random,16384,19661,1.0506078022481053,out,3,0.2851431965827942,65.79436812138229,m256_n192_cm1_cn2_pp0_dyn0_sw8,256,192,,,False,False,1,2,1,False,8,9,False,
m16k_tk20k,random,16384,19661,1.0506078022481053,out,4,0.28845280408859253,65.03946634373511,m128_n192_cm1_cn2_pp1_dyn0_sw4,128,192,,,True,False,1,2,1,False,4,9,False,
m16k_tk20k,random,16384,19661,1.0506078022481053,out,5,0.29048240184783936,64.58503621538952,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False,
m20k_tk24k,random,20000,24000,1.0526666666666666,gated,1,0.7052304029464722,64.94658824006541,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,
m20k_tk24k,random,20000,24000,1.0526666666666666,gated,2,0.7464447975158691,61.36061065328305,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False,
m20k_tk24k,random,20000,24000,1.0526666666666666,gated,3,0.7630920171737671,60.021999396843505,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False,
m20k_tk24k,random,20000,24000,1.0526666666666666,gated,4,0.77325439453125,59.233169469803634,m128_n192_cm2_cn1_pp1_dyn0_sw4,128,192,,,True,False,2,1,1,False,4,9,False,
m20k_tk24k,random,20000,24000,1.0526666666666666,gated,5,0.7786904096603393,58.819664434442785,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False,
m20k_tk24k,random,20000,24000,1.0526666666666666,out,1,0.3233303904533386,70.82895692285673,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False,
m20k_tk24k,random,20000,24000,1.0526666666666666,out,2,0.33415439128875735,68.53465013266901,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False,
m20k_tk24k,random,20000,24000,1.0526666666666666,out,3,0.3401383996009827,67.32892941266077,m128_n192_cm2_cn1_pp1_dyn0_sw4,128,192,,,True,False,2,1,1,False,4,9,False,
m20k_tk24k,random,20000,24000,1.0526666666666666,out,4,0.3427791953086853,66.81022247177702,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False,
m20k_tk24k,random,20000,24000,1.0526666666666666,out,5,0.3427855968475342,66.80897478739766,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False,
online_target,random,24497,29446,1.0209875704679752,gated,1,0.9587224006652832,58.615106674732246,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False,
online_target,random,24497,29446,1.0209875704679752,gated,2,1.0023920059204101,56.061516307536166,m128_n256_cm1_cn1_pp0_dyn0_sw8,128,256,,,False,False,1,1,1,False,8,9,False,
online_target,random,24497,29446,1.0209875704679752,gated,3,1.0109967708587646,55.58436723662042,m128_n256_cm2_cn1_pp0_dyn0_sw4,128,256,,,False,False,2,1,1,False,4,9,False,
online_target,random,24497,29446,1.0209875704679752,gated,4,1.029734420776367,54.57292157339205,m256_n192_cm2_cn1_pp0_dyn0_sw4,256,192,,,False,False,2,1,1,False,4,9,False,
online_target,random,24497,29446,1.0209875704679752,gated,5,1.0310984134674073,54.500729564188475,m256_n192_cm2_cn1_pp0_dyn0_sw8,256,192,,,False,False,2,1,1,False,8,9,False,
online_target,random,24497,29446,1.0209875704679752,out,1,0.40445359945297243,69.47102938687662,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False,
online_target,random,24497,29446,1.0209875704679752,out,2,0.42109839916229247,66.72504086722141,m128_n192_cm1_cn2_pp1_dyn0_sw4,128,192,,,True,False,1,2,1,False,4,9,False,
online_target,random,24497,29446,1.0209875704679752,out,3,0.42296319007873534,66.43085864752209,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False,
online_target,random,24497,29446,1.0209875704679752,out,4,0.4249239921569824,66.12431496418101,m192_n128_cm1_cn2_pp1_dyn0_sw4,192,128,,,True,False,1,2,1,False,4,9,False,
