epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
93,76796.3,1.02425,0.5095,0.94673,0.95027,0.76467,0.81419,0.53469,1.57952,0.58116,0.75775,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,77617.1,1.01935,0.50447,0.94514,0.95157,0.76375,0.81428,0.53496,1.57909,0.58107,0.75797,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,78436.3,1.01778,0.50305,0.94275,0.95016,0.76354,0.8145,0.53491,1.57834,0.57893,0.75794,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,79255.9,1.01833,0.50222,0.94441,0.95006,0.76429,0.81495,0.53479,1.5778,0.57765,0.75777,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,80075.7,1.01634,0.50346,0.94563,0.94852,0.76418,0.81513,0.53562,1.5774,0.57695,0.75746,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,80895.3,1.0149,0.50216,0.94173,0.9485,0.76515,0.81534,0.53566,1.57787,0.57604,0.75755,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,81716,1.01399,0.49815,0.94062,0.94929,0.76661,0.81614,0.53614,1.57633,0.57459,0.75723,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,82535.8,1.00971,0.49744,0.94058,0.94875,0.76674,0.81589,0.5359,1.57613,0.57393,0.75736,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,83356.2,1.01242,0.49795,0.94345,0.94928,0.76809,0.81573,0.5361,1.57588,0.57352,0.75718,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,84178.3,1.01014,0.49882,0.94293,0.95066,0.76796,0.81549,0.53645,1.57518,0.57355,0.75718,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,85000.1,1.01107,0.49701,0.9428,0.95308,0.76675,0.81549,0.5368,1.57389,0.572,0.75706,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,85821,1.00925,0.49493,0.94105,0.95174,0.76645,0.81575,0.53717,1.57291,0.57044,0.75665,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
